,0
129,1210_1620_ZI011_銅導角製程
130,1210_1620_ZI015_外觀檢驗
131,1210_1620_ZI017_燒附氧氣PPM(Spec<10)
132,1210_1620_ZI019_沾附日期
133,1210_1620_PARAM001
134,1210_1620_PARAM002
135,1210_1620_PARAM003
136,1210_1620_PARAM004
137,1210_1620_PARAM005
138,1210_1620_PARAM006
139,1210_1620_PARAM007
140,1210_1620_PARAM008
141,1210_1620_PARAM009
142,1210_1620_PARAM0010
143,1210_1620_PARAM0011
144,1210_1620_PARAM0012
145,1210_1620_PARAM0013
146,1210_1710_ZI008_鎳電流(A)
147,1210_1710_ZI012_錫電流(A)
148,1210_1710_ZI022_Sn 厚 (1)
149,1210_1710_ZI023_Sn 厚 (2)
150,1210_1710_ZI024_Sn 厚 (3)
151,1210_1710_ZI025_Sn 厚 (4)
152,1210_1710_ZI026_Sn 厚 (5)
153,1210_1710_ZI027_Sn平均
154,1210_1710_ZI038_Sn 厚 (6)
155,1210_1710_ZI039_Sn 厚 (7)
156,1210_1710_ZI040_Sn 厚 (8)
157,1210_1710_ZI041_Sn 厚 (9)
158,1210_1710_ZI042_Sn 厚 (10)
159,1210_1720_ZI001_首驗/重工記錄(sorting/rework)
160,1210_1720_ZI003_測試盤編號(plant number)
161,1210_1720_ZI004_B/X:M1 F:Z-
162,1210_1720_ZI005_B/X:M2 F:Z+
163,1210_1720_ZI006_B/X:K or K1 F:M1
164,1210_1720_ZI007_B/X:K2 or J  F:M2
165,1210_1720_ZI008_B/X:K3 F:Z
166,1210_1720_ZI009_Flash NG 數(Flash NG pcs)
167,1210_1720_ZI010_IR NG 數(IR NG pcs)
168,1210_1720_ZI011_DF NG 數(DF NG pcs)
169,1210_1720_ZI012_C-out NG 數(C-out NG pcs)
170,1210_1720_ZI013_NPP 掉料(NPP)
171,1210_1720_ZI014_C-out loss (C-out loss )
172,1210_1720_ZI015_DF loss(DF loss)
173,1210_1720_ZI016_Flash loss(Flash loss)
174,1210_1720_ZI017_IR loss(IR loss)
175,1210_1720_ZI018_B率 loss(B% loss)
176,1210_1720_ZI022_IR1電壓(IR1 voltage)
177,1210_1720_ZI023_IR1電流(IR1 Decision current(A))
178,1210_1720_ZI024_IR1時間(IR1 soak time(ms))
179,1210_1720_ZI025_IR2電壓(IR2 voltage)
180,1210_1720_ZI026_IR2電流(IR2 Decision current(A))
181,1210_1720_ZI027_IR2時間(IR2 soak time(ms))
182,FQC
183,1210_1810_ZI001_首驗/重工記錄
184,1210_1810_ZI002_電容值異常
185,1210_1810_ZI003_散逸因子異常
186,1210_1810_ZI004_NPO-narrow tolerance & Cap. range (<=10pF) 
187,1210_1810_ZI005_IR低於規格下限
188,1210_1810_ZI006_BDV低於規格下限
189,1210_1810_ZI007_DWV低於規格下限
190,1210_1810_ZI008_RSH異常
191,1210_1810_ZI009_SAM異常
192,1210_1810_ZI010_Chip寬厚差
193,1210_1810_ZI011_Chip短
194,1210_1810_ZI012_Chip長
195,1210_1810_ZI013_Chip薄
196,1210_1810_ZI014_Chip厚
197,1210_1810_ZI015_Chip寬
198,1210_1810_ZI016_Chip窄
199,1210_1810_ZI017_MB大(尺寸)
200,1210_1810_ZI018_MB小(尺寸)
201,1210_1810_ZI019_BW大(尺寸)
202,1210_1810_ZI020_BW小(尺寸)
203,1210_1810_ZI021_Chip群體寬厚差
204,1210_1810_ZI022_爬錫不良(焊錫性)
205,1210_1810_ZI023_噴錫(焊錫性)
206,1210_1810_ZI024_立碑(焊錫性)
207,1210_1810_ZI025_拒焊(焊錫性)
208,1210_1810_ZI026_錫珠(焊錫性)
209,1210_1810_ZI027_錫墊上焊錫形狀NG(焊錫性)
210,1210_1810_ZI028_焊錫與外電極接觸面外形NG(焊錫性)
211,1210_1810_ZI029_其他(焊錫性)
212,1210_1810_ZI030_爆裂
213,1210_1810_ZI031_變色破裂
214,1210_1810_ZI032_缺角
215,1210_1810_ZI033_MB垂流
216,1210_1810_ZI034_MB太小
217,1210_1810_ZI035_多鍍
218,1210_1810_ZI036_表面摺痕
219,1210_1810_ZI037_陶瓷體表面異物
220,1210_1810_ZI038_氣泡
221,1210_1810_ZI039_陶瓷體顏色異常
222,1210_1810_ZI040_MB黑頭
223,1210_1810_ZI041_露銅
224,1210_1810_ZI042_碰傷
225,1210_1810_ZI043_變形
226,1210_1810_ZI044_陶體邊緣不平整
227,1210_1810_ZI045_均壓不良
228,1210_1810_ZI046_陶體沾污
229,1210_1810_ZI047_錫渣
230,1210_1810_ZI048_切割歪斜
231,1210_1810_ZI049_MB端頭脫落 
232,1210_1810_ZI050_內電極偏移顏色異常
233,1210_1810_ZI051_撞傷
234,1210_1810_ZI052_內電極垂直外露
235,1210_1810_ZI053_刮傷
236,1210_1810_ZI054_裂痕
237,1210_1810_ZI055_內電極水平外露
238,1210_1810_ZI056_MB 脫落
239,1210_1810_ZI057_沾附不良
240,1210_1810_ZI058_MB太大
241,1210_1810_ZI059_MB 異物
242,1210_1810_ZI060_其他(外觀)
243,1210_1810_ZI061_ESR&Q值異常
244,1210_1810_ZI062_HALT確認異常(<1hr)
245,1210_1810_ZI063_HALT確認異常(10min~1hr)
246,1210_1810_ZI064_HALT確認異常(<10min)
247,1210_1810_ZI066_3340 IR異常
248,slurry_D10_TARGET_VALUE
249,slurry_D10_ORG_TARGET_VALUE
250,slurry_D50_TARGET_VALUE
251,slurry_D50_ORG_TARGET_VALUE
252,slurry_D90_TARGET_VALUE
253,slurry_D90_ORG_TARGET_VALUE
254,slurry_D99_TARGET_VALUE
255,slurry_D99_ORG_TARGET_VALUE
256,slip_D10_TARGET_VALUE
257,slip_D10_ORG_TARGET_VALUE
258,slip_D50_TARGET_VALUE
259,slip_D50_ORG_TARGET_VALUE
260,slip_D90_TARGET_VALUE
261,slip_D90_ORG_TARGET_VALUE
262,slip_D99_TARGET_VALUE
263,slip_D99_ORG_TARGET_VALUE
264,1PASS_D50
265,2PASS_D50
266,3PASS_D50
267,4PASS_D50
268,5PASS_D50
269,6PASS_D50
270,7PASS_D50
271,Milling start time研磨開始時間
272,Milling finish time研磨結束時間
273,Dopant start milling time微量分散開始時間
274,Dopant finish milling time微量分散結束時間
275,1Pass Milling Blade Time
276,2Pass Milling Blade Time
277,3Pass Milling Blade Time
278,4Pass Milling Blade Time
279,5Pass Milling Blade Time
280,6Pass Milling Blade Time
281,7Pass Milling Blade Time
282,Thermal_Ring
283,ZORDPN_s
284,ZORDPN_d
285,ZORDPN_c
286,ZORDPN_t
287,ZORDPN_v
